"n"	"coherent_rel_error"	"coherent_asymptotic_1_over_n"	"cat_rel_error"	"cat_asymptotic_1_over_n"
2	0.27965783867088314968456337585008396919572996210997	0.33333333333333333333333333333333333333333333333333	0.40635486873649771393329877731324193920478741708291	0.44980451849539946992708014508435728618670521451794
3	0.1973840132219674774935152205720541981409360099692	0.22222222222222222222222222222222222222222222222222	0.27905042856088353341632200373266630139426044716064	0.29986967899693297995138676338957152412447014301196
4	0.15240516734908381503324907556476379553982348616603	0.16666666666666666666666666666666666666666666666667	0.21275754123396569508116463083461848565400111600666	0.22490225924769973496354007254217864309335260725897
5	0.12409166674472482532333000361181262211988815831697	0.13333333333333333333333333333333333333333333333333	0.17198036933767118272175143849021050818581852066416	0.17992180739815978797083205803374291447468208580718
6	0.10463949175588285280097252477693331170883809939566	0.11111111111111111111111111111111111111111111111111	0.14434112082157593461084526237390409954130376786567	0.14993483949846648997569338169478576206223507150598
7	0.090454884744591136120398604678508586860168695431201	0.095238095238095238095238095238095238095238095238095	0.12436428552676498473995040103066909280191618344184	0.12851557671297127712202289859553065319620148986227
8	0.079654657173002365241785245133025219372582221942103	0.083333333333333333333333333333333333333333333333333	0.10924879043684217570099634012037311413294726284115	0.11245112962384986748177003627108932154667630362949
9	0.071157242800656070477146832684538937257079495497713	0.074074074074074074074074074074074074074074074074074	0.097411511854062275939382057159660815141064970168454	0.099956559665644326650462254463190508041490047670654
10	0.06429737586573352345119387727281948976417718191308	0.066666666666666666666666666666666666666666666666667	0.087889795122843618492623553190776997900769284805877	0.089960903699079893985416029016871457237341042903588
11	0.058643449233075570904265017403252059751823196972661	0.060606060606060606060606060606060606060606060606061	0.080064460316300894404801098386529135500176766365232	0.081782639726436267259469117288064961124855493548717
12	0.053903241401961614247818439730411549356589972442216	0.055555555555555555555555555555555555555555555555556	0.073519098128768494833973457981674056686394110704342	0.07496741974923324498784669084739288103111753575299
13	0.049871866476420125510606875870155976305530536988682	0.051282051282051282051282051282051282051282051282051	0.0679633195735675582837517758958174880995920845516	0.069200695153138379988781560782208813259493109925837
14	0.046401422164989330702418884859589492575231391837869	0.047619047619047619047619047619047619047619047619048	0.063188423354911843690292587342901738073627387563193	0.064257788356485638561011449297765326598100744931134
15	0.043382470710456619242941757012709068147483638559344	0.044444444444444444444444444444444444444444444444444	0.059040552617534399561683131947491819039163808547184	0.059973935799386595990277352677914304824894028602392
16	0.04073230004330123724208258778368050936074693443377	0.041666666666666666666666666666666666666666666666667	0.055403786287481793090777139291912775508690508506327	0.056225564811924933740885018135544660773338151814743
17	0.038387236041738608693066861321788779566934289153318	0.039215686274509803921568627450980392156862745098039	0.052189123826744052884506599063694141988943327599384	0.052918178646517584697303546480512621904318260531522
18	0.036297463772340409980606234915149399681491902825861	0.037037037037037037037037037037037037037037037037037	0.049327098091306301425496783922743020052308442658398	0.049978279832822163325231127231595254020745023835327
19	0.034423451800378911361470659283982368709370045573362	0.035087719298245614035087719298245614035087719298246	0.04676269447337592163772817589013742642249265903299	0.047347844052147312623903173166774451177547917317678
20	0.032733429104210765743718743628073837182351203693561	0.033333333333333333333333333333333333333333333333333	0.044451777730607962252736994101387012914185519254163	0.044980451849539946992708014508435728618670521451794
21	0.031201570028281989111731142013006608384916258336984	0.031746031746031746031746031746031746031746031746032	0.042358529083189207941488770901237149036126449349646	0.042838525570990425707340966198510217732067163287423
22	0.029806665844194752002454472648747936313957801765324	0.03030303030303030303030303030303030303030303030303	0.040453575292740112228256348378668944794162241811714	0.040891319863218133629734558644032480562427746774358
23	0.028531137240785183151261657111007017322435902536199	0.028985507246376811594202898550724637681159420289855	0.038712601114490507119043953534902197001991831130148	0.039113436390904301732789577833422372711887409958082
24	0.02736028985949905236100925712357911738309357615249	0.027777777777777777777777777777777777777777777777778	0.037115305425622705803127642158220807829689894988118	0.037483709874616622493923345423696440515558767876495
25	0.026281745841759409294483842741106133819245791935403	0.026666666666666666666666666666666666666666666666667	0.035644605647802293859780237810431748278853717667296	0.035984361479631957594166411606748582894936417161435
26	0.025285004682085844350993731900337277222357635922845	0.025641025641025641025641025641025641025641025641026	0.034286024183975041255946447977185166330660694869431	0.034600347576569189994390780391104406629746554962919
27	0.024361100327010727941908134230091106952789913897866	0.024691358024691358024691358024691358024691358024691	0.033027210068551230312225590244320380305207012300861	0.033318853221881442216820751487730169347163349223551
28	0.023502330778956868523220265158941857618541172883514	0.023809523809523809523809523809523809523809523809524	0.03185756229662189200644245553455340849018306306335	0.032128894178242819280505724648882663299050372465567
29	0.022702042928807919090737779709992497748271078914279	0.022988505747126436781609195402298850574712643678161	0.030767930478184863104438429522423607884881590990981	0.031021001275544791029453803109266019737014152725375
30	0.021954459890428790515883447498619719782805895107527	0.022222222222222222222222222222222222222222222222222	0.029750374909730210971897320515651697585191281070214	0.029986967899693297995138676338957152412447014301196
31	0.021254541355102542273298282109089229602529316407332	0.021505376344086021505376344086021505376344086021505	0.028797972743675304878292986344265832207420275413109	0.02901964635454190128561807387641014749591646545277
32	0.02059786982668970192688129174813866021311272827202	0.020833333333333333333333333333333333333333333333333	0.027904660242779766664263181103631100625197097045016	0.028112782405962466870442509067772330386669075907371
33	0.019980557309458890770608038157764210223003101003216	0.02020202020202020202020202020202020202020202020202	0.027065103517560541933602859985433947533618961964278	0.027260879908812089086489705762688320374951831182906
34	0.019399168283720611815373454930751425529281174468277	0.01960784313725490196078431372549019607843137254902	0.026274591921616395383912195145232429832140366926286	0.026459089323258792348651773240256310952159130265761
35	0.018850655746233077311749693873009129880777168894313	0.019047619047619047619047619047619047619047619047619	0.025528949602658496544180125367950438906398569775191	0.025703115342594255424404579719106130639240297972454
36	0.018332307801171774875973787694078471321399724345885	0.018518518518518518518518518518518518518518518518519	0.024824461701264357760305893322881462483911693054625	0.024989139916411081662615563615797627010372511917663
37	0.017841702825601464878300547749785929744883633058714	0.018018018018018018018018018018018018018018018018018	0.02415781244322127734122185734684425085519573332219	0.0243137577565080794555178456802355289830651467307
38	0.017376671645332232551639875706362793866603593643319	0.017543859649122807017543859649122807017543859649123	0.023526032947687234109144972359625408362950759416576	0.023673922026073656311951586583387225588773958658839
39	0.016935265474829443988281669102331506037928395418641	0.017094017094017094017094017094017094017094017094017	0.02292645701752059256597471956685195172610118907815	0.023066898384379459996260520260736271086497703308612
40	0.016515728621799512636860229798138172668763197720177	0.016666666666666666666666666666666666666666666666667	0.022356683522889461950170086196699924390292206009225	0.022490225924769973496354007254217864309335260725897
41	0.016116475150308871203740330641971691910095416408548	0.01626016260162601626016260162601626016260162601626	0.021814544258769510118841073420313879481020913153438	0.021941683829043876581808787565090599326180742171607
42	0.015736068848488379575436880637316323573779969671639	0.015873015873015873015873015873015873015873015873016	0.021298076368998896001466132893340065512445761228672	0.021419262785495212853670483099255108866033581643711
43	0.015373205967491070986823357012171351922970452685877	0.015503875968992248062015503875968992248062015503876	0.020805498597468432159529254041129568248241014697103	0.0209211403951348590663758207015980133110095448613
44	0.015026700294523884392188174635692423461390656174074	0.015151515151515151515151515151515151515151515151515	0.020335190760766813358975624051251314504846210964526	0.020445659931609066814867279322016240281213873387179
45	0.01469547019985502269486453299801389456235885489373	0.014814814814814814814814814814814814814814814814815	0.019885675943729411212047328109998782014858103937966	0.019991311933128865330092450892638101608298009534131
46	0.01437852735982026803716403648919734522422362757154	0.014492753623188405797101449275362318840579710144928	0.019455605005611693262948450249968116565625631510827	0.019556718195452150866394788916711186355943704979041
47	0.014074966908171590711159759133495710940274475903388	0.014184397163120567375886524822695035460992907801418	0.019043743054440824340117842028908038876799724875969	0.019140617808314871060726814684440735582412987851827
48	0.01378395880906932912504059921680333791320812248885	0.013888888888888888888888888888888888888888888888889	0.018648957603900247227846477957149606959189524950818	0.018741854937308311246961672711848220257779383938248
49	0.013504740278511216037365058623714553691060207644389	0.013605442176870748299319727891156462585034013605442	0.018270208173519110053890311974689408674769879372843	0.01835936810185303958886041408507580759945735569461
50	0.013236609108499666453375585565651383328094742789961	0.013333333333333333333333333333333333333333333333333	0.017906537131038679441840488952859523029409839303516	0.017992180739815978797083205803374291447468208580718
51	0.012978917770937781040815407717109408142124800591454	0.013071895424836601307189542483660130718954248366013	0.017557061607234802037939259936352309491683635778998	0.017639392882172528232434515493504207301439420177174
52	0.012731068197034585795949522478331472458282460885185	0.012820512820512820512820512820512820512820512820513	0.017220966339470581335228716409196158267654114453283	0.017300173788284594997195390195552203314873277481459
53	0.012492507143621625174420283801232921870033776424279	0.012578616352201257861635220125786163522012578616352	0.016897497321853414589685129864464232893229043045731	0.016973755414920734714229439437145557969309630736526
54	0.012262722070818872853696006172065962114416621453308	0.012345679012345679012345679012345679012345679012346	0.016585956157885848319912875494305635066323237103062	0.016659426610940721108410375743865084673581674611776
55	0.012041237466404986582234984133325480563663998997341	0.012121212121212121212121212121212121212121212121212	0.016285695026579402264617724160221484402888573934416	0.016356527945287253451893823457612992224971098709743
56	0.011827611561421059817927435691008155150121467899419	0.011904761904761904761904761904761904761904761904762	0.015996112185666651960414231556460543553031396907688	0.016064447089121409640252862324441331649525186232784
57	0.011621433389272002423380661941435753728509260993866	0.011695906432748538011695906432748538011695906432749	0.015716647946221173873596275189897581350542484916835	0.015782614684049104207967724388924817059182639105893
58	0.011422320147132058746413073439643222811296899665263	0.01149425287356321839080459770114942528735632183908	0.015446781062019502072612765618697446827391230402897	0.015510500637772395514726901554633009868507076362688
59	0.011229914824011610796928487530615034369123656640957	0.01129943502824858757062146892655367231638418079096	0.015186025484632553591970366951465271198826576750335	0.015247610796454219319562038816418891057176447949761
60	0.011043884064565586026276120564397077963981978969932	0.011111111111111111111111111111111111111111111111111	0.014933927441743713643813521484613918228471583410037	0.014993483949846648997569338169478576206223507150598
61	0.010863916241754320430620161014788694106127751746759	0.010928961748633879781420765027322404371584699453552	0.014690062801743694874992216004613443170411335216537	0.014747689130996703932035414592929747088088695557965
62	0.010689719714916667556013552719200933828975885668822	0.010752688172043010752688172043010752688172043010753	0.01445403469240214744885742767106813523526988379901	0.014509823177270950642809036938205073747958232726385
63	0.010521021252774266294330403861950740271625854182271	0.010582010582010582010582010582010582010582010582011	0.014225471345489801953744365414681719557692991824832	0.014279508523663475235780322066170072577355721095808
64	0.010357564603431276691750017466122872134077289658433	0.010416666666666666666666666666666666666666666666667	0.014004024142727927890807247088520334883090701095883	0.014056391202981233435221254533886165193334537953686
65	0.010199109195628851302987605293337239669205103288019	0.01025641025641025641025641025641025641025641025641	0.013789365841461590705581927592942606514869029678309	0.013840139030627675997756312156441762651898621985167
66	0.010045428957410929097320661363322365021784200185561	0.01010101010101010101010101010101010101010101010101	0.013581188961062560842786565711899566316925275657837	0.013630439954406044543244852881344160187475915591453
67	0.0098963112400017981428294028438144166380756555560791	0.0099502487562189054726368159203980099502487562189055	0.013379204313327800894225474779595780396208802893318	0.013427000552101476714241198360727083169752394463222
68	0.0097515558361233432333514963168860013415634237378294	0.0098039215686274509803921568627450980392156862745098	0.01318313966210142405052738188689657933212960948347	0.013229544661629396174325886620128155476079565132881
69	0.0096109740832221680942556686804180435794025674087537	0.0096618357487922705314009661835748792270531400966184	0.012992738499054937415850356442611593880969325139908	0.013037812130301433910929859277807457570629136652694
70	0.0094743880431601758147229607623589436360140001162392	0.0095238095238095238095238095238095238095238095238095	0.012807758924048771923565069558657252346495505564214	0.012851557671297127712202289859553065319620148986227
