"curve_id","n_det","tau","point_id","fidelity","eta_opt"
1,2,1.,1,0.2757255929766878,0.01
1,2,1.,2,0.28569208419887177,0.02
1,2,1.,3,0.29569078506302343,0.03
1,2,1.,4,0.3057109265358897,0.04
1,2,1.,5,0.31574190071800295,0.05
1,2,1.,6,0.3257732720207377,0.060000000000000005
1,2,1.,7,0.3357947869859855,0.06999999999999999
1,2,1.,8,0.34579638293090476,0.08
1,2,1.,9,0.35576819558658823,0.09
1,2,1.,10,0.3657005658852442,0.09999999999999999
1,2,1.,11,0.3755840460360232,0.11
1,2,1.,12,0.38540940501521004,0.12
1,2,1.,13,0.39516763358241347,0.13
1,2,1.,14,0.4048499489208103,0.14
1,2,1.,15,0.4144477989865657,0.15000000000000002
1,2,1.,16,0.42395286664037385,0.16
1,2,1.,17,0.43335707362270537,0.17
1,2,1.,18,0.44265258442382927,0.18000000000000002
1,2,1.,19,0.45183181009004836,0.19
1,2,1.,20,0.4608874119987977,0.2
1,2,1.,21,0.4698123056273237,0.21000000000000002
1,2,1.,22,0.4785996643325362,0.22
1,2,1.,23,0.4872429231532752,0.23
1,2,1.,24,0.49573578264061513,0.24000000000000002
1,2,1.,25,0.5040722127168878,0.25
1,2,1.,26,0.5122464565598164,0.26
1,2,1.,27,0.520253034504422,0.27
1,2,1.,28,0.5280867479522067,0.28
1,2,1.,29,0.5357426832744209,0.29000000000000004
1,2,1.,30,0.5432162156939989,0.3
1,2,1.,31,0.5505030131289119,0.31
1,2,1.,32,0.557599039978239,0.32
1,2,1.,33,0.5645005608311181,0.33
1,2,1.,34,0.5712041440779193,0.34
1,2,1.,35,0.577706665402416,0.35000000000000003
1,2,1.,36,0.5840053111334093,0.36000000000000004
1,2,1.,37,0.590097581434158,0.37
1,2,1.,38,0.595981293308043,0.38
1,2,1.,39,0.6016545833991548,0.39
1,2,1.,40,0.6071159105669036,0.4
1,2,1.,41,0.6123640582142768,0.41000000000000003
1,2,1.,42,0.6173981363500478,0.42000000000000004
1,2,1.,43,0.6222175833659952,0.43
1,2,1.,44,0.626822167511036,0.44
1,2,1.,45,0.6312119880451308,0.45
1,2,1.,46,0.6353874760567962,0.46
1,2,1.,47,0.6393493949291258,0.47000000000000003
1,2,1.,48,0.643098840440291,0.48000000000000004
1,2,1.,49,0.6466372404856386,0.49
1,2,1.,50,0.6499663544096004,0.5
1,2,1.,51,0.6530882719367611,0.51
1,2,1.,52,0.6560054116925439,0.52
